Index,Title,Text,Label
44,Govt warns against hoarding N-95 masks,"The department of pharmaceuticals has issued a directive that warns manufactures, importers and suppliers against overpricing and hoarding of N-95 masks, after receiving complaints of people selling it at exorbitant rates in market even though the government has already declared it an essential commodity in the wake of coronavirus disease pandemic.The department of pharmaceuticals has asked States to ensure that N-95, surgical masks, gloves and hand sanitisers are available in sufficient sufficiently and the selling price does not exceed the maximum retail price mentioned at the back of the pack. “This refers to the grievances being received regarding hoarding, back marketing and differential higher pricing of N-95 masks in the country…. It is hereby informed that N-95 has been mask has been notified as an essential commodity on March 13 under the Essential Commodities Act… hoarding, black marketing is punishable offence under the Act.,” says the directive issued on Thursday. Under the Act those who fail to comply with the directive are liable for a prison term of minimum three months with fine that can also go up to 7 years.",REAL
45,Dengue clusters in 3 districts keep Health dept. on its toes,"Amidst COVID-19, the Health Department is on alert with monsoon-time diseases dengue fever and leptospirosis being reported from areas where summer rain has been copious. Already there have been three suspected and two confirmed dengue deaths in the State besides 885 confirmed and 2,126 suspected cases till May 12. Reports of more clusters have come in from Ernakulam, Kannur, and Kasaragod. With most of the departments and personnel involved in the fight against COVID-19, communicable diseases, tackled by the Health Department in pre-monsoon activities, are perhaps not receiving the required attention.There were also issues of the use of tarpaulin in keeping things covered. Water gets collected in the grooves if not properly cleaned. This had led to several breeding sources of mosquitoes.Health authorities expect dengue fever cases to reach the peak this year following its three-yearly peak. Already, there are three times the cases compared to last year this time.There have been 384 suspected and 189 confirmed leptospirosis cases, with 16 suspected and four confirmed deaths.",REAL
46,Indian governments roadmap to ease COVID-19 restrictions in 5 phases,"A viral message claiming that the Indian government is planning to ease the lockdown restrictions in five phases.It discusses the division of Mumbai into seven zones each of which will be managed by an IAS officer. The message then goes ahead to mention that the government has a roadmap to ease COVID-19 restrictions in 5 phases through a three week review process and would be on the dates of May 18, June 8, June 29, July 20, and August 10. The message then details every phase and the easing of relaxations for various activities and reopening of establishments.The first paragraph of the viral message talks about Mumbai being divided into seven zones which would be administered by several IAS officers. The Brihanmumbai Municipal Corporation (BMC) has divided the city into the said number of zones.",FAKE
47,21 of 73 people who arrived from United States test positive for Covid-19 in Haryana’s Panchkula region,"A total of 21 out of 73 people who arrived from the USA on May 19 have tested positive for Covid-19, according to officials. “All of them are not residents of Panchkula but belong to various districts. 2 reports were inconclusive and rest were negative,” said Dr Jasjit Kaur, Chief Medical Officer, Panchkula. According to the latest data available on the website of the Ministry of Health and Family Welfare, the number of coronavirus cases in Haryana has risen to 1067 with 706 cured/migrated/discharged and 16 deaths. India has so far recorded 1,25,101 Covid-19 cases out of which 69,597 are active cases. 3,720 people have lost their lives to coronavirus.",REAL
48,Video Shows Fox News reports Donald Trump tests positive for COVID-19,"A viral video claiming to show Fox News reported that US President Donald Trump tested positive for COVID-19.In the 11 seconds clip, a Fox News breaking news segment plays where the anchor appears to be saying the president has tested positive for Coronavirus. ""Just a moment ago Fox News Alert, The White House medical team confirming President Trump has confirmed positive for the Coronavirus,"" the anchor can be heard saying in the clip. The video is being shared with the caption, ""Fox News.... Trump test positive for covid-19.""",FAKE
49,Maruti Suzuki employee at Manesar plant tests Covid-19 positive,"An employee at Maruti Suzuki’s Manesar plant has tested positive for COVID-19, according to a company spokesperson. The company is also looking at “a possibility of a second case” of infection at the facility but has ruled out any impact on the business part due to the situation. The country’s largest carmaker, Maruti Suzuki India (MSI) had re-opened the Manesar facility earlier this month after around 50 days of closure due to coronavirus-led lockdown.“One employee of the company’s Manesar plant tested positive on May 22, 2020 for COVID-19,” the spokesperson told PTI on Saturday when contacted over the matter.The said employee had last attended the plant on May 15 with normal health after which his residence area came under containment zone and he did not join work thereafter, he said. The district administration was informed about the employee who has since been admitted in the hospital and his condition is stable, he added. MSI is providing all medical help and assistance to the infected employee as per government guidelines, the spokesperson said.On the status of another employee possibly infected with the virus, the spokesperson said: “There may be a possibility of a second case of infection that has just been reported. More information is being sought.” The automaker, in the confirmed case, has undertaken a contact tracing exercise and out of abundant caution, all employees who could have come in contact are advised to stay in home isolation, he said. The company has in place a robust and carefully designed standard operating procedure (SOP) for maximum safety against infection spread at the workplace and transit, which goes well beyond compliance requirement, the spokesperson said. In addition, there is also a COVID-19 Task Force that closely monitors adherence to the SOP in the company , the spokesperson added.MSI had resumed production at its Gurugram plant from May 18.Both Manesar and Gurugram plants have an installed capacity to churn out over 15.5 lakh vehicles per annum.",REAL
50,TikTok banned in the United States of America.,An image is being widely shared on social media stating that the United States has banned video app - TikTok and that India should also follow suit.Some posts are also being shared along with a clip of US senator Josh Hawley speaking about the security risks TikTok poses to American citizens and its alleged closeness to the Chinese government.,FAKE
51,Donald Trump tweets about Barack Obamas handling of the H1N1 pandemic in 2009.,"Obama's handling of this whole pandemic has been terrible! As President, ALL responsibility becomes yours during a crisis like this, whether or not you're entirely to blame. John McCain, and myself for that matter myself, would never let thousands of Americans die from a pandemic while in office.",FAKE
52,"Reliance’s JioMart website goes live, expands services to more cities","Reliance Jio has launched its new e-commerce portal, JioMart, and started accepting orders in dozens of metropolitan cities amid the fourth phase of the nationwide lockdown to control the spread of the coronavirus disease (Covid-19). Damodar Mall, the chief executive officer of Reliance Retail’s grocery retail business, said in a tweet the website had gone live and that consumers could place orders on it.JioMart is now delivering in more than 200 cities, Mall said. This comes after a month Reliance Retail’s venture JioMart began taking orders on WhatsApp in Mumbai, Navi Mumbai, Thane, and Kalyan.Delhi, Chennai, Kolkata, Bengaluru, Pune, Bokaro, Bathinda, Ahmedabad, Gurgaon and Dehradun are among the tier 1 and tier 2 metros are among the serviceable pin codes where consumers can order products from the JioMart site.  Customers can log on to the newly-launched website to place their order. An app has not yet been made live. The e-commerce website will sell essential grocery items as well as farm produce, which will be sourced directly from farmers who have collaborated with the brand. It claims to be selling certain products at a minimum of 5% below the MRP. Packaged food, dairy and bakery items, frozen, pet food, household cleaning items and personal care, home care and baby care products are among others being sold on JioMart. The website will ask for the six-digit pin code to inform whether they are delivering in that area or not. It currently accepts payments through net-banking and credit or debit cards. Customers will have to pay a delivery fee of Rs 25 if their order value is less than Rs 750. The launch comes Facebook’s April announcement that it will invest $5.7 billion in Reliance’s Jio Platforms. According to experts, the US social media company’s WhatsApp platform will extend Reliance’s reach to its user base of around 400 million in India. It also comes after Amazon and Walmart-backed Flipkart ramped up their grocery services.",REAL
53,Bill Gates Paralyzed half a million children with polio vaccines.,"It is difficult to understand how a man whose vaccines intiatives have injured and killed untold thoudands of innocent children all around the world is now being given a paltform to push for mandatory Wuhan coronavirus as condition for ending the lockdowns.  Bill Gates, in case you had not yet figured out the character in question, is pushing not just for mandatory vaccination for the Wuhan coronavirus (COVID-19), but also for “digital certificates” that prove vaccination status. This is the only way people will be allowed to return to work, assuming Gates gets his way. But have people forgotten that Gates has spent billions of dollars over the years vaccinating children for other things, all the while inflicting them with permanent injury and even death? A single vaccine campaign that Gates launched in India for polio ended up causing non-polio acute flaccid paralysis (NPAFP), or permanent paralyzation, in nearly half a million children between the years of 2000 and 2017. After the Indian government demanded that Gates and his cronies leave India following this epidemic of permanent injury, rates of NPAFP dropped precipitously. But this has not stopped Gates from inflicting similar damage elsewhere, with injury and death tolls that more than likely are in the tens of millions, at this point. An outspoken eugenicist and “elite” supremacist, Gates lives to vaccinate. After conveniently ditching the board of Microsoft right as the Wuhan coronavirus (COVID-19) pandemic started to come into full swing, Gates has been doing nothing other than advocating for mass vaccination and indefinite lockdowns until everyone on the planet is jabbed",FAKE
54,Nigeria presidency impose curfew to allow China mount their 5G athena.,Nigerian presidency imposed a curfew to allow Chinese companies to build 5G masts.the curfew is aimed at slowing the spread of the novel coronavirus. Authorities say 5G licences have not been issued to any firms in Nigeria -- Chinese or otherwise.,FAKE
55,"Ban on Zoom , Court issues notice to Centre","The Supreme Court on Friday asked the government to respond to a petition seeking a ban on the use of video communications app ‘Zoom’ for official and personal purposes. A Bench led by Chief Justice of India S.A. Bobde issued notice to the Centre on the plea raising privacy concerns. The court said the government should file a reply in four weeks. The plea by Delhi resident Harsh Chugh said the app made users “vulnerable and prone to cyber threats.” It has alleged that the Zoom app “practices data hoarding and cyber hoarding,” which include mass storage of personal data of its users and stores cloud recordings, instant messages and files.“Zoom is reported to have a bug that can be abused intentionally to leak information of users to third parties. The app has been falsely claiming that calls are end-to-end encrypted when they are not,” the petition said. It claimed that Zoom had apologised publicly for “mistakenly routing traffic through China” where Internet is heavily monitored by the government. The plea has alleged that Indian Computer Emergency Response Team (CERT-In), the nodal cybersecurity agency, has also warned Zoom users of cyber risks.",REAL
56,‘Hunar Haat’ to return in September after COVID-19 break.,"‘Hunar Haat’, the flagship initiative by the Minority Affairs Ministry to generate employment for master  craftspeople, will make a comeback in September with a ‘Local to Global’ theme after an over five-month gap due to the coronavirus pandemic.Minority Affairs Minister Mukhtar Abbas Naqvi said on Saturday that ‘Hunar Haat’ had provided employment and employment opportunities to more than five lakh Indian artisans, craftspeople, culinary experts in the last five years and had become popular among the people. ‘Hunar Haat’, which provides market and opportunity to master artisans and craftspeople from remote areas of the country, has become a credible brand of rare exquisite indigenous handmade products, Mr. Naqvi said in a statement.After a gap of about five months due to the coronavirus pandemic, ‘Hunar Haat’, which has become “empowerment exchange” of artisans and craftsmen from across the country, will restart from September with the theme of ‘Local to Global’ and will have a comparatively larger participation from artisans, the statement said. The last Hunar Haat was held in end of February to March 8 in Ranchi. Prime Minister Narendra Modi, during his surprise visit to ‘Hunar Haat’ organised at the India Gate in February, had encouraged and lauded indigenous handmade products of artisans. Appreciating the artisans and craftspeople and their products in his ‘Mann Ki Baat’ programme, Mr. Modi had said: “A few days ago, at a small place at the Hunar Haat in Delhi, I witnessed hues of our country’s diverse expanse, cultures, traditions, cuisines and the warmth of emotions.”  “The stories of the artisans’ perseverance, zeal and love for their skill are inspiring,” he had said. Mr. Naqvi said utilising the time during the nationwide lockdown, artisans and craftspeople had prepared their rare indigenous exquisite products at a large scale and would bring them for display and sale in the next ‘Hunar Haat’ . Mr. Naqvi said social distancing, hygiene, sanitisation and use of masks would be ensured at ‘Hunar Haat’, whose venue was not decided yet as .officials of the ministry were working out the details. There will be a special ‘jaan bhi, jahaan bhi’ pavilion to create health awareness among the people with the theme of “Say no to panic, yes to precautions“. The Minority Affairs Ministry has organised more than two dozen ‘Hunar Haat’ so far across the country where lakhs of artisans, craftspeople have been provided employment and employment opportunities.  In the coming days, ‘Hunar Haat’ will be organised in Chandigarh, Delhi, Allahabad, Bhopal, Jaipur, Hyderabad, Mumbai, Gurgaon, Bengaluru, Chennai, Kolkata, Dehradun, Patna, Nagpur, Raipur, Puducherry, Amritsar, Jammu, Shimla, Goa and Lucknow, among other places.",REAL
